date,M0009942,M0001629,M0150193,M0062858,M0043821,M0061518,M0000545,G0008368,G0003882,M0067855,M0009808,S2707403,M1001654,G0000891,M0009870,S0000236,S0114186,S0114187,S0047907,S0047914,S0047919,S0047926,S0047925,S0047927,S0047934,S0047905,M0001022,S5116010,M5464271,M0000272,M0061614,M0024072,S0073285,S5914515,S0178726,M0001427,M5405212,M0012303,M0020188,M0020209,M0020251,M0020194,M0020215,M0020257,M0020193,M0020214,M0020256,M0020191,M0020212,M0020254,M0000604,M0012939,M0012948,M0012949,M0010157,M0010160,M0041652,M0041653,M0041654,M0041655,M0041656,M0041657,M0041658,M0041659,M0041660,M0017146,M0017147,M0017148,M0017149,M0017150,M0017151,M0041372,M0041374,M0041378,M0041371,M0041373,M0041377,M0000185,M0058007,M0066316,M5523040,M5438206,M0012288,M0012988,M0041739,M0041743,M5207472,M0011453,M5781505,M0011456,M5207480,M0011454,M5207487,M5207488,M0062945,M0062946,M0062947,M0062948,G0000894,G0000895,G0000897,y
2012/1/3,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23929,0.25,0.3,0.34,0.149,0.2082,0.2953,
2012/1/4,,,,,,,,,,6.2946,,,3.4498,2,,,,,,,,,,,,,,,,,,,,126.45,,,,,2169.39,2298.753,8695.987,-1.365225,-2.003161,-2.498415,-30.027,-46.989,-222.829,49.245537,34.344567,34.163503,,,,,,,3.5009,4.076,4.7516,4.9,5.943,5.9267,,,,5.4139,4.7822,4.3639,5.3204,4.5128,3.9377,,,,,,,6.3001,6.2762,6.3013,,,,,5187.7319,3.7387,,,,,,,,,0.24643,0.25,0.3,0.34,0.15,0.2072,0.2953,4.076
2012/1/5,,,,,,,,,,6.3017,,,3.4498,2.02,,,,,,,,,,,,,,,,,,,,,,,,,2148.452,2276.385,8600.259,-0.965156,-0.973049,-1.10083,-20.938,-22.368,-95.728,58.743447,43.01648,38.634595,,,,,,,4.0024,4.4785,4.9273,5.0743,5.8591,5.8092,,,,5.2286,4.762,4.3495,5.2448,4.5971,3.9727,,,,,,,6.3115,6.2802,6.3053,,,,,5105.4392,4.1804,,,,,,,,,0.25,0.32786,0.34143,0.36214,0.1495,0.2062,0.2953,4.4785
2012/1/6,,,,,,,,,,6.3095,,,3.4155,1.98,,,,,,,,,,,,,,,,,510,,,126.15,,,,,2163.395,2290.601,8634.418,0.695524,0.624499,0.397186,14.943,14.216,34.159,50.583054,35.198992,33.966195,,,,,,,4.0043,4.3063,4.6548,5.0723,5.9578,5.9623,,,5.85,5.1117,4.7858,4.3791,5.1828,4.6863,4.0251,,,,,,,6.3166,6.2911,6.3163,,,,,4967.7236,4.2162,,,,,,,,,0.15071,0.30357,0.33143,0.36,0.149,0.2062,0.2963,4.3063
2012/1/9,,,,,,,,,,6.3146,,,3.4008,1.98,,,,,,,,,,,,,,,,,,,,,,,,,2225.89,2368.57,8946.085,2.888747,3.403866,3.609589,62.495,77.969,311.667,76.759839,54.727341,47.651475,,,,,,,4.0031,4.519,4.5417,5.0973,5.8963,5.9893,6.2,,,4.8734,4.7703,4.3862,4.963,4.7402,4.0671,,,,,,,6.3236,6.2921,6.3174,,,,,4431.6847,4.1624,,,,,,,,,0.15,0.27929,0.30071,0.35929,0.149,0.2062,0.2963,4.519
2012/1/10,,,,,,,,,,6.315,,,3.4375,2,,,,,,,,,,,,,,,,,,,,,,,,,2285.744,2447.349,9281.245,2.688992,3.326015,3.746443,59.854,78.779,335.16,109.585415,81.154989,73.676108,,,,,,,3.7033,4.0835,4.525,5.1492,5.9464,5.8449,5.9336,,5.5,4.6811,4.7897,4.4142,4.7461,4.8184,4.1169,,,,,,,6.3171,6.2991,6.3244,,,,,4590.3869,3.8562,,,,,,,,,0.17786,0.25,0.3,0.36,0.15,0.2042,0.2958,4.0835
2012/1/11,,,,,,,,,,6.3155,,,3.4195,1.93,,,,,,,,,,,,,,,,,,,,125.69,,,,,2276.046,2435.608,9239.213,-0.424282,-0.479744,-0.45287,-9.698,-11.741,-42.032,84.441781,58.705674,62.727019,,,,,,,3.2487,3.9949,4.7433,5.8521,5.9519,5.5071,5.3,,,4.2959,4.7173,4.3933,4.2964,4.8084,4.1441,,,,,,,6.3155,6.2981,6.3234,,,,,5047.2026,3.6558,,,,,,,,,0.14929,0.24357,0.3,0.36,0.149,0.2042,0.2947,3.9949
2012/1/12,,,,,,,,,,6.3178,,,3.4156,1.94,,,,,,,,,,,,,,,,,,,,,,,,,2275.01,2435.219,9200.926,-0.045518,-0.015971,-0.414397,-1.036,-0.389,-38.287,71.569994,47.121275,51.457391,,,,,,,3.4889,4.1816,5.5251,5.9782,5.8308,6.0962,5.6643,,,4.2545,4.6231,4.3657,4.2798,4.7623,4.1695,,,,,,,6.323,6.3031,6.3284,,,,,5431.4662,3.7895,,,,,,,,,0.1,0.21857,0.28,0.36,0.147,0.2037,0.2896,4.1816
2012/1/13,,,,,,,,,,6.3066,,,3.4249,1.89,,,,,,,,,,,,,,,,,730,,,125.57,,,,,2244.58,2394.334,9030.588,-1.337577,-1.678904,-1.851314,-30.43,-40.885,-170.338,71.474322,45.513997,50.289446,,,,,,,4.6771,4.8975,6.1147,6.2508,6.2316,6.4375,6.3835,,5.3,4.2032,4.5474,4.3648,4.2186,4.7007,4.2173,,,,,,,6.3201,6.3041,6.3294,,,,,4746.8241,4.8604,,,,,,,,,0.1,0.2,0.28,0.36,0.146,0.2015,0.2851,4.8975
2012/1/16,,,,,,,,,,6.3165,,,3.4279,,,,,,,,,,,,,,,,,,,,,125.72,,,,,2206.193,2345.649,8827.474,-1.710209,-2.033342,-2.249178,-38.387,-48.685,-203.114,45.859522,30.527145,33.54945,,,,,,,5.5826,6.1644,6.4588,6.5767,7.0821,6.9455,6.9929,,5.659,4.3563,4.5521,4.4358,4.3361,4.6496,4.2894,,,,,,,6.3306,6.2961,6.3214,,,,,4127.1057,5.8434,,,,,,,,,0.09857,0.18071,0.28,0.36,,0.2005,0.2816,6.1644
2012/1/17,,,,,,,,,,6.315,,,3.4233,1.87,,,,,,,,,,,,,,,,,,,,,,,,,2298.376,2460.601,9264.09,4.178374,4.900648,4.946103,92.183,114.952,436.616,87.80356,64.205648,53.731194,,,,,,,7.5214,7.1468,7.3883,7.9842,7.9246,7.3148,7.3975,6.6726,6.6498,4.7646,4.7319,4.6379,4.6592,4.7027,4.4423,,1690,,,5.47,,6.325,6.2981,6.3234,,,,,3886.3011,7.5172,,,,,,,,,0.09857,0.18143,0.28,0.35929,0.1465,0.1999,0.281,7.1468
2012/1/18,,,,,,,,,,6.312,,,3.4093,1.92,,,,,,,,,,,,,,,,,,,,,,,,,2266.384,2422.189,9115.269,-1.391939,-1.561082,-1.606429,-31.992,-38.412,-148.821,89.940422,63.892358,55.102651,,,,,,,8.1338,7.7249,8.9261,11.186,9.5496,8.8274,7.7094,8.0382,8.4,5.4412,5.0057,4.9295,5.2706,4.7835,4.6482,,,,,,,6.3205,6.2991,6.3244,,,,,3951.2979,8.3376,,,,,,,,,0.09714,0.17929,0.27786,0.35929,0.1464,0.1998,0.2809,7.7249
